country,gdp.2010,gdp.2011,gdp.2012,gdp.2013,gdp.2014,gdp.2015,gdp.2016,gdp.2017,gdp.2018,gdp.2019,gdp.2020,gdp.2021,gdp.2022,pop.2010,pop.2011,pop.2012,pop.2013,pop.2014,pop.2015,pop.2016,pop.2017,pop.2018,pop.2019,pop.2020,pop.2021,pop.2022,temp.2010,temp.2011,temp.2012,temp.2013,temp.2014,temp.2015,temp.2016,temp.2017,temp.2018,temp.2019,temp.2020,temp.2021,temp.2022,cd.2010,cd.2011,cd.2012,cd.2013,cd.2014,cd.2015,cd.2016,cd.2017,cd.2018,cd.2019,cd.2020,cd.2021,cd.2022,ge.2010,ge.2011,ge.2012,ge.2013,ge.2014,ge.2015,ge.2016,ge.2017,ge.2018,ge.2019,ge.2020,ge.2021,ge.2022,con.2010,con.2011,con.2012,con.2013,con.2014,con.2015,con.2016,con.2017,con.2018,con.2019,con.2020,con.2021,con.2022,cpt.2010,cpt.2011,cpt.2012,cpt.2013,cpt.2014,cpt.2015,cpt.2016,cpt.2017,cpt.2018,cpt.2019,cpt.2020,cpt.2021,cpt.2022,rol.2010,rol.2011,rol.2012,rol.2013,rol.2014,rol.2015,rol.2016,rol.2017,rol.2018,rol.2019,rol.2020,rol.2021,rol.2022,rq.2010,rq.2011,rq.2012,rq.2013,rq.2014,rq.2015,rq.2016,rq.2017,rq.2018,rq.2019,rq.2020,rq.2021,rq.2022,polstab.2010,polstab.2011,polstab.2012,polstab.2013,polstab.2014,polstab.2015,polstab.2016,polstab.2017,polstab.2018,polstab.2019,polstab.2020,polstab.2021,polstab.2022,voice.2010,voice.2011,voice.2012,voice.2013,voice.2014,voice.2015,voice.2016,voice.2017,voice.2018,voice.2019,voice.2020,voice.2021,voice.2022,urbanpop.2010,urbanpop.2011,urbanpop.2012,urbanpop.2013,urbanpop.2014,urbanpop.2015,urbanpop.2016,urbanpop.2017,urbanpop.2018,urbanpop.2019,urbanpop.2020,urbanpop.2021,urbanpop.2022,waterwith.2010,waterwith.2011,waterwith.2012,waterwith.2013,waterwith.2014,waterwith.2015,waterwith.2016,waterwith.2017,waterwith.2018,waterwith.2019,waterwith.2020,waterwith.2021,waterwith.2022
Afghanistan,15633843662,18190413832,20203572960,20564485419,20550582747,19998143636,18019554403,18896353156,18418860354,18904502222,20143451706,14583135237,9041543847,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771,1.613,1.397,0.223,1.281,0.456,1.093,1.555,1.54,1.544,0.91,0.498,1.327,2.012,4,4,10,5,3,5,4,5,5,7,7,4,6,-1.48,-1.48,-1.38,-1.4,-1.36,-1.35,-1.25,-1.36,-1.48,-1.5,-1.59,-1.63,-1.44,10727,10727,10727,10727,10727,10727,10727,13363,14135,13908,10339,9739,2880,-1.65,-1.60,-1.43,-1.45,-1.36,-1.35,-1.54,-1.53,-1.50,-1.42,-1.49,-1.15,-1.18,-1.87,-1.92,-1.65,-1.61,-1.44,-1.52,-1.52,-1.58,-1.69,-1.74,-1.83,-1.88,-1.66,-1.52,-1.54,-1.19,-1.19,-1.12,-1.02,-1.34,-1.37,-1.14,-1.11,-1.39,-1.31,-1.27,-2.58,-2.50,-2.42,-2.52,-2.41,-2.56,-2.66,-2.79,-2.75,-2.65,-2.70,-2.52,-2.55,-1.40,-1.34,-1.27,-1.24,-1.14,-1.12,-1.04,-0.99,-1.01,-1.01,-1.08,-1.57,-1.75,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,25.754,26.026,26.314,26.616,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668
Bangladesh,1.15E+11,1.29E+11,1.33E+11,1.50E+11,1.73E+11,1.95E+11,2.65E+11,2.94E+11,3.21E+11,3.51E+11,3.74E+11,4.16E+11,4.60E+11,148391139,150211005,152090649,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251,171186372,0.768,0.144,0.235,0.23,0.482,0.722,1.337,1.124,0.881,1.136,0.898,1.3,1.216,6,5,5,3,4,7,3,5,4,6,2,2,2,-0.75,-0.77,-0.81,-0.8,-0.77,-0.73,-0.68,-0.73,-0.74,-0.73,-0.76,-0.63,-0.74,2613,2319,1847,2740,1123,1915,823,572,1206,1716,1522,2581,2304,-1.05,-1.10,-0.86,-0.89,-0.89,-0.84,-0.89,-0.86,-0.93,-1.02,-1.00,-0.99,-1.08,-0.80,-0.73,-0.94,-0.87,-0.78,-0.77,-0.67,-0.68,-0.65,-0.64,-0.57,-0.63,-0.60,-0.86,-0.82,-0.96,-0.92,-0.96,-0.92,-0.81,-0.83,-0.85,-0.94,-0.91,-0.85,-0.93,-1.43,-1.40,-1.38,-1.63,-0.90,-1.21,-1.26,-1.25,-0.99,-0.93,-0.92,-1.04,-1.09,-0.27,-0.32,-0.40,-0.41,-0.47,-0.51,-0.58,-0.62,-0.74,-0.74,-0.77,-0.77,-0.75,30.462,31.225,31.993,32.762,33.535,34.308,35.083,35.858,36.632,37.405,38.177,38.946,39.711,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476
Bhutan,1547990907,1777102586,1781280170,1756214304,1907090362,2003596824,2158971718,2450366108,2446867582,2535655609,2325185521,2539551327,2753917134,705516,713331,721145,728889,736357,743274,749761,756121,762096,767459,772506,777486,782455,1.202,0.534,0.512,0.742,0.86,1.068,1.487,1.457,1.346,1.329,1.09,1.707,1.523,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6,0.68,0.55,0.43,0.3,0.45,0.56,0.62,0.4,0.35,0.45,0.8,0.51,3,3,3,3,3,3,3,3,3,3,3,4,2,0.94,0.85,0.95,0.91,1.31,0.99,1.09,1.53,1.59,1.57,1.62,1.51,1.51,0.16,0.21,0.26,0.32,0.42,0.53,0.51,0.63,0.55,0.58,0.58,0.60,0.67,-1.16,-1.15,-1.09,-1.09,-1.01,-0.74,-0.69,-0.34,-0.38,-0.36,-0.33,-0.41,-0.38,0.74,0.83,0.78,0.78,1.07,0.96,1.11,1.10,1.08,1.07,1.01,0.80,0.86,-0.42,-0.40,-0.28,-0.16,-0.10,-0.03,-0.03,0.01,0.04,0.07,0.15,0.22,0.16,34.793,35.585,36.371,37.149,37.918,38.678,39.428,40.167,40.895,41.612,42.316,43.008,43.686,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128,0.433205128
China,6.09E+12,7.55E+12,8.53E+12,9.57E+12,1.05E+13,1.11E+13,1.12E+13,1.23E+13,1.39E+13,1.43E+13,1.47E+13,1.78E+13,1.80E+13,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,0.968,0.792,0.626,1.073,1.062,1.297,1.319,1.573,1.361,1.422,1.62,1.701,1.906,21,13,22,34,33,31,30,26,20,13,11,12,7,0.08,0.07,0,-0.02,0.35,0.44,0.38,0.44,0.52,0.56,0.68,0.84,0.36,2479,2479,2479,2479,2479,2479,2479,2479,3477,3641,2400,1860,1019,-0.57,-0.51,-0.44,-0.36,-0.34,-0.30,-0.27,-0.29,-0.29,-0.31,-0.07,0.03,0.02,-0.47,-0.45,-0.55,-0.53,-0.40,-0.41,-0.32,-0.26,-0.19,-0.26,-0.10,0.01,-0.04,-0.32,-0.26,-0.28,-0.33,-0.33,-0.35,-0.31,-0.18,-0.23,-0.30,-0.20,-0.33,-0.42,-0.66,-0.60,-0.54,-0.54,-0.52,-0.55,-0.50,-0.23,-0.30,-0.26,-0.47,-0.52,-0.44,-1.68,-1.64,-1.64,-1.63,-1.62,-1.66,-1.56,-1.50,-1.46,-1.63,-1.66,-1.64,-1.61,49.226,50.511,51.765,53.013,54.259,55.5,56.736,57.96,59.152,60.308,61.428,62.512,63.56,20.86209961,21.15254719,21.28763909,21.42984109,21.09566639,21.03878559,21.4732127,21.1959188,21.07824665,21.40566675,20.20974795,21.11176107,21.11176107
India,1.68E+12,1.82E+12,1.83E+12,1.86E+12,2.04E+12,2.10E+12,2.29E+12,2.65E+12,2.70E+12,2.84E+12,2.67E+12,3.15E+12,3.39E+12,1240613620,1257621191,1274487215,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173,1.129,0.365,0.516,0.451,0.53,0.711,1.088,0.966,0.874,0.802,0.52,0.733,0.79,17,12,9,11,16,19,15,18,23,12,11,16,7,0.03,0.02,-0.16,-0.16,-0.23,0.11,0.09,0.07,0.3,0.16,0.41,0.28,0.08,17768,17768,17768,17768,17768,17768,13365,13893,18887,24005,18122,17940,18167,-0.46,-0.54,-0.51,-0.52,-0.46,-0.41,-0.34,-0.29,-0.23,-0.30,-0.29,-0.32,-0.32,-0.04,-0.09,-0.06,-0.05,-0.07,-0.07,-0.06,-0.03,0.00,-0.07,-0.06,-0.11,0.11,-0.41,-0.36,-0.48,-0.48,-0.48,-0.42,-0.31,-0.26,-0.23,-0.15,-0.13,-0.09,-0.05,-1.28,-1.33,-1.29,-1.23,-1.00,-0.95,-0.96,-0.77,-1.00,-0.80,-0.84,-0.69,-0.57,0.44,0.44,0.40,0.43,0.41,0.43,0.44,0.39,0.36,0.27,0.13,0.09,0.05,30.93,31.276,31.634,32.003,32.384,32.777,33.182,33.6,34.03,34.472,34.926,35.393,35.872,44.77869986,44.77869986,44.77869986,44.77869986,44.77869986,44.77869986,44.77869986,44.77869986,44.77869986,44.77869986,44.77869986,44.77869986,44.77869986
Kyrgyz Republic,4794361821,6197765942,6605142864,7335033799,7468102369,6678177483,6813095396,7702938395,8271106196,8871019823,7780873259,8740681889,10930644915,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6198200,6322800,6456200,6579900,6691800,6803300,1.402,1.27,0.353,1.428,0.541,1.546,1.898,1.478,1.28,1.679,1.427,1.417,2.619,1,0,2,0,1,0,0,1,0,0,0,1,1,-0.66,-0.64,-0.65,-0.65,-0.87,-0.92,-0.91,-0.71,-0.61,-0.69,-0.53,-0.73,-0.71,358,358,358,358,358,358,358,358,194,284,341,568,402,-1.18,-1.23,-1.15,-1.16,-1.13,-1.18,-1.10,-1.08,-0.96,-0.96,-1.12,-1.15,-1.23,-1.27,-1.20,-1.13,-1.11,-0.94,-1.01,-1.04,-0.95,-0.93,-0.91,-0.96,-1.10,-1.15,-0.26,-0.22,-0.34,-0.33,-0.45,-0.54,-0.39,-0.38,-0.40,-0.39,-0.45,-0.63,-0.63,-1.04,-1.10,-0.91,-0.91,-0.80,-0.88,-0.65,-0.36,-0.53,-0.27,-0.46,-0.47,-0.55,-0.93,-0.68,-0.61,-0.54,-0.46,-0.40,-0.42,-0.43,-0.35,-0.45,-0.58,-0.59,-0.72,35.306,35.352,35.423,35.517,35.635,35.777,35.944,36.135,36.351,36.591,36.856,37.146,37.461,15.75107296,15.75107296,15.75107296,15.75107296,15.75107296,15.75107296,15.75107296,15.75107296,15.75107296,15.75107296,15.75107296,15.75107296,15.75107296
Myanmar,37796052939,54118601975,58318677645,60572257122,63264892768,63045306514,60291738935,61449391917,67144726168,68697761477,78930259069,65124769602,59364362541,49390988,49794522,50218185,50648334,51072436,51483949,51892349,52288341,52666014,53040212,53423198,53798084,54179306,1.203,0.51,0.915,0.986,0.902,1.245,1.443,1.328,1.064,1.726,1.669,1.656,1.436,2,1,1,2,2,6,5,2,4,3,2,1,0,-1.62,-1.6,-1.48,-1.51,-1.3,-1.26,-0.99,-1.07,-1.08,-1.17,-1.02,-1.41,-1.29,214,532,800,810,898,1174,1107,1099,1111,1818,1501,16259,15510,-1.67,-1.59,-1.07,-1.01,-0.88,-0.85,-0.64,-0.59,-0.61,-0.65,-0.68,-1.05,-1.15,-1.55,-1.44,-1.36,-1.24,-1.19,-1.26,-0.90,-0.96,-1.04,-1.08,-1.19,-1.47,-1.53,-2.24,-2.10,-1.83,-1.50,-1.40,-1.25,-0.87,-0.84,-0.75,-0.75,-0.62,-1.12,-1.24,-1.29,-1.11,-0.94,-1.14,-1.09,-1.17,-0.81,-1.08,-1.27,-1.33,-1.51,-2.08,-2.21,-2.07,-1.85,-1.62,-1.46,-1.34,-1.22,-0.80,-0.86,-0.90,-0.86,-0.94,-1.66,-1.81,28.885,29.075,29.266,29.457,29.65,29.858,30.082,30.322,30.579,30.852,31.141,31.448,31.771,3.3138213,3.3138213,3.3138213,3.3138213,3.3138213,3.3138213,3.3138213,3.3138213,3.3138213,3.3138213,3.3138213,3.3138213,3.3138213
Nepal,16002656434,21573872274,21703100747,22162205046,22731612827,24360801338,24524109485,28971588881,33111525183,34186180695,33433659223,36924841430,40828247302,27161567,27266399,27330694,27381555,27462106,27610325,27861186,28183426,28506712,28832496,29348627,30034989,30547580,1.138,0.231,0.402,0.189,0.337,0.654,1.169,1.071,0.627,0.854,0.229,0.632,1.132,2,6,3,2,6,2,3,3,2,2,1,4,4,-0.89,-0.92,-0.99,-0.93,-0.86,-1.07,-0.83,-0.89,-0.9,-1.05,-0.94,-0.87,-0.93,533,339,536,684,250,753,391,616,1986,3248,3226,3303,2986,-0.70,-0.79,-0.81,-0.69,-0.59,-0.60,-0.83,-0.78,-0.69,-0.69,-0.60,-0.56,-0.53,-0.96,-0.89,-0.74,-0.72,-0.65,-0.69,-0.81,-0.69,-0.49,-0.55,-0.51,-0.49,-0.45,-0.76,-0.73,-0.81,-0.86,-0.85,-0.83,-0.79,-0.74,-0.78,-0.74,-0.74,-0.64,-0.65,-1.58,-1.42,-1.38,-1.13,-0.72,-1.00,-0.85,-0.58,-0.54,-0.45,-0.18,-0.19,-0.25,-0.45,-0.45,-0.64,-0.53,-0.43,-0.42,-0.25,-0.20,-0.13,-0.15,-0.08,-0.08,-0.05,16.768,17.108,17.458,17.815,18.182,18.557,18.942,19.336,19.74,20.153,20.576,21.008,21.451,4.791675076,4.791675076,4.791675076,4.791675076,4.791675076,4.791675076,4.791675076,4.791675076,4.791675076,4.791675076,4.791675076,4.791675076,4.791675076
Pakistan,1.77E+11,2.14E+11,2.24E+11,2.31E+11,2.44E+11,2.71E+11,3.14E+11,3.39E+11,3.56E+11,3.21E+11,3.00E+11,3.48E+11,3.77E+11,194454498,198602738,202205861,205337562,208251628,210969298,213524840,216379655,219731479,223293280,227196741,231402117,235824862,1.29,0.833,0.263,0.778,0.358,0.529,1.233,1.252,1.359,0.566,0.394,1.121,1.389,7,1,5,2,3,7,8,5,2,10,6,6,4,-0.77,-0.83,-0.78,-0.79,-0.76,-0.67,-0.65,-0.6,-0.63,-0.68,-0.54,-0.4,-0.68,5562,3731,6975,5923,4203,4904,4468,4750,6613,7692,8779,7900,8084,-1.09,-1.08,-1.07,-0.96,-0.84,-0.83,-0.90,-0.80,-0.80,-0.88,-0.86,-0.81,-0.80,-0.74,-0.91,-0.88,-0.86,-0.75,-0.78,-0.82,-0.73,-0.68,-0.69,-0.71,-0.66,-0.67,-0.61,-0.65,-0.72,-0.71,-0.69,-0.65,-0.66,-0.61,-0.67,-0.69,-0.76,-0.76,-0.89,-2.68,-2.81,-2.68,-2.60,-2.40,-2.47,-2.47,-2.40,-2.25,-2.25,-1.79,-1.71,-1.90,-0.80,-0.83,-0.84,-0.80,-0.72,-0.72,-0.70,-0.69,-0.81,-0.86,-0.88,-0.84,-0.86,34.997,35.202,35.408,35.613,35.819,36.026,36.234,36.442,36.666,36.907,37.165,37.44,37.731,336.8727273,326.3272727,341.6,333.6363636,354.3090909,358,363.2181818,363.5818182,350.4363636,322.0181818,344.7090909,344.9735537,344.9735537
Tajikistan,5642221529,6522755783,7633036366,8448410727,9112606075,8271431932,6992416097,7536403147,7765000282,8300813890,8133963813,8937805347,10492123388,7621779,7784819,7956382,8136610,8326348,8524063,8725318,8925525,9128132,9337003,9543207,9750064,9952787,1.342,1.438,-0.032,1.255,0.461,1.301,1.645,1.288,1.66,1.325,1.034,0.945,2.074,2,1,2,1,2,3,1,2,1,1,1,2,0,-0.93,-0.96,-0.93,-1.07,-0.79,-0.86,-1.04,-1.13,-1.11,-1.06,-0.71,-0.59,-0.93,31,31,31,31,31,31,31,31,29,40,28,23,33,-1.30,-1.23,-1.28,-1.29,-1.13,-1.15,-1.16,-1.35,-1.43,-1.35,-1.34,-1.35,-1.43,-1.21,-1.23,-1.21,-1.26,-1.01,-1.07,-1.17,-1.38,-1.30,-1.25,-1.25,-1.21,-1.26,-1.01,-0.98,-1.01,-1.07,-1.04,-1.06,-1.12,-1.10,-1.10,-1.06,-1.07,-1.15,-1.20,-1.03,-1.02,-1.24,-1.18,-0.69,-0.88,-0.78,-0.67,-0.75,-0.51,-0.50,-0.68,-0.69,-1.43,-1.38,-1.42,-1.50,-1.50,-1.57,-1.69,-1.72,-1.70,-1.80,-1.78,-1.70,-1.67,26.52,26.521,26.545,26.589,26.655,26.742,26.851,26.982,27.134,27.309,27.506,27.726,27.968,17.09794446,16.96225094,16.82655741,16.69086389,16.55517036,16.41947684,13.78663725,12.58745667,15.40182792,16.70658683,16.70658683,15.97648722,15.97648722
Turkmenistan,22583157895,29233333333,35164210526,39197543860,43524210526,35799714286,36169428571,37926285714,40765428571,44220285714,45610571429,47044567724,48455904755,5267970,5360811,5458682,5560095,5663152,5766431,5868561,5968383,6065066,6158420,6250438,6341855,6430770,1.891,1.098,0.78,1.643,0.714,1.427,2.02,1.692,1.524,1.818,1.528,1.647,2.528,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.52,-1.51,-1.12,-1.13,-0.51,-0.55,-0.86,-0.96,-1.05,-0.97,-0.99,-0.93,-1.01,9,9,9,9,9,9,9,9,7,15,16,3,3,-1.44,-1.45,-1.31,-1.29,-1.18,-1.23,-1.39,-1.37,-1.38,-1.39,-1.43,-1.44,-1.44,-1.47,-1.43,-1.38,-1.36,-1.34,-1.42,-1.49,-1.48,-1.46,-1.41,-1.40,-1.46,-1.49,-2.06,-2.05,-2.11,-2.13,-2.10,-2.10,-2.12,-2.00,-2.00,-2.03,-2.05,-2.03,-2.07,0.33,0.23,0.43,0.25,0.07,-0.09,-0.20,-0.13,-0.01,-0.18,-0.20,-0.33,-0.10,-2.04,-2.17,-2.25,-2.22,-2.26,-2.24,-2.17,-2.16,-2.15,-2.18,-2.03,-1.91,-1.94,48.491,48.825,49.175,49.541,49.921,50.317,50.728,51.153,51.593,52.048,52.516,52.998,53.494,1990.468327,1992.266904,1994.06548,1995.864057,1997.662633,1999.46121,2001.259786,2053.822064,1913.16726,1972.106762,1867.97153,1979.828729,1979.828729
Uzbekistan,49765676402,60178909297,67517349212,73180037913,80845385816,86196264742,86138288633,62081322741,52870108218,60283503705,60224701296,69600614989,80391853885,28562400,29339400,29774500,30243200,30757700,31298900,31847900,32388600,32956100,33580350,34232050,34915100,35648100,1.827,1.091,0.716,1.563,0.211,1.443,2.31,1.792,1.044,1.943,1.721,1.532,2.607,0,0,0,0,0,0,0,0,0,0,1,1,1,-0.72,-0.68,-0.91,-0.92,-0.62,-0.67,-0.58,-0.56,-0.55,-0.52,-0.53,-0.2,-0.62,158,158,158,158,158,158,158,158,29,84,227,296,153,-1.31,-1.39,-1.31,-1.27,-1.19,-1.29,-1.20,-1.19,-1.08,-1.05,-1.07,-0.83,-0.76,-1.42,-1.45,-1.30,-1.24,-1.13,-1.14,-1.13,-1.13,-1.10,-1.08,-1.11,-0.92,-0.85,-1.54,-1.56,-1.58,-1.60,-1.73,-1.69,-1.64,-1.30,-1.14,-1.06,-1.00,-0.60,-0.55,-0.72,-0.60,-0.52,-0.54,-0.27,-0.37,-0.28,-0.24,-0.30,-0.30,-0.44,-0.25,-0.20,-2.09,-2.12,-2.03,-1.97,-1.91,-1.96,-1.89,-1.80,-1.63,-1.65,-1.53,-1.40,-1.33,50.956,51.15,51.05,50.95,50.85,50.75,50.65,50.55,50.478,50.433,50.416,50.427,50.466,305.2767578,306.1607507,307.0447436,307.9287366,308.8127295,337.4541004,333.8433293,360.4651163,360.4895961,360.4895961,360.4895961,331.677732,331.677732